Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Address,PlaceId,Type
NFB,2020-08-26T11:28:15-07:00,47.89961301,-122.5664999,942583.4017,1133454.99,,,,
NFB,2020-08-26T13:56:55-07:00,47.91857375,-122.5638469,949481.9678,1134286.659,,,,
NFB,2020-08-26T13:57:07-07:00,47.89021671,-122.5786634,939234.713,1130381.325,Two culverts. One PVC one CST. Flow directly into another pipe on Private property with no visible outlet. No suitable habitat upstream. No scour,,,
NFB,2020-08-26T14:24:21-07:00,47.87937521,-122.5731758,935245.0903,1131623.534,,,,
NFB,2020-09-01T11:27:17-07:00,47.87399361,-122.5507204,933138.2089,1137082.195,No scour. Vegetation in bed. Right next to storm water retention facility ,,,
NFB,2020-09-22T13:26:35-07:00,47.7474682,-122.4779267,886535.2207,1153787.639,,,,
NFB,2020-09-22T14:33:35-07:00,47.7720713,-122.5198318,895769.4335,1143709.783,"Storm water retention pond upstream. Storm grate on outlet of pipe, couldn’t get measurements",,,
NFB ,2020-06-23T10:59:15-07:00,47.44458574,-122.576208,776704.1777,1126704.945,,,,
NFB ,2020-08-11T15:04:30-07:00,47.66051443,-122.7352482,856516.5479,1089596.013,"Habitat ends at outlet Round, PCC, 0.46",,,
NFB ,2020-08-12T09:45:41-07:00,47.63143589,-122.7324364,845893.1512,1089988.512,No Scour,,,
NFB ,2020-10-07T14:46:19-07:00,47.76980413,-122.5913028,895400.6253,1126116.13,Scour too small upstream,,,
NFB beyond Site,2020-08-03T11:30:39-07:00,47.61495792,-122.7102636,839730.3584,1095285.573,Upstream inlet has storm drain on top of PCC culvert through drainage ditch. Scour too small. Outlet Is Round CAL 0.71. ,,,
NFB beyond Site,2020-08-10T15:02:22-07:00,47.64705859,-122.7620344,851797.9557,1082856.257,"Two culverts have outlets at same location. Inlets are located at separate drainage. Round, CST, 0.38",,,
NFB Beyond Site,2020-08-10T15:15:30-07:00,47.64655589,-122.762441,851617.5155,1082750.802,"Two culverts have outlets at same location. Inlets are located at separate drainage ditches. Round, CST, 0.46",,,
NFB Culvert PCC RND .3 No U/S D|S <.61 Wetland,2020-06-22T10:04:23-07:00,47.4357754,-122.5758031,773488.9,1126720.55,,,,
NFB Storm Drain,2020-08-25T14:04:30-07:00,47.90572949,-122.5806879,944905.7641,1130033.986,,,,
NFB US DS Private Unknown ,2020-06-22T15:20:21-07:00,47.4269466,-122.5522837,770117.21,1132455.748,,,,
No Site,2020-07-15T10:35:52-07:00,47.51230922,-122.5079062,800962.6146,1144229.791,,,,
No Site,2020-08-03T13:47:18-07:00,47.59329542,-122.7329401,831988.6023,1089470.54,,,,
No Site,2020-08-11T12:21:55-07:00,47.63671349,-122.7379122,847855.9216,1088693.389,,,,
No Site,2020-08-26T11:15:12-07:00,47.90319547,-122.574248,943939.9243,1131588.987,,,,
No Site,2020-08-26T11:28:26-07:00,47.89968142,-122.5676821,942615.9536,1133165.689,,,,
No Site,2020-09-09T13:12:27-07:00,47.79308488,-122.5851286,903851.0142,1127858.657,,,,
No Site,2020-09-22T14:15:07-07:00,47.76831437,-122.4976933,894260.5885,1149118.095,,,,
No Site,2020-09-22T14:23:32-07:00,47.77295347,-122.5039781,895991.7273,1147615.798,,,,
