"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
"NFB Culvert PCC Rnd 0.38 No Channel No SLW","2020-08-10T10:02:47-07:00",47.5388614234761,-122.826771721555,0,0,
"NFB Culvert Rnd CST 0.31 No US Channel Rd Ditch No SLW No DS SLW 0.3","2020-08-10T13:36:55-07:00",47.5388720179563,-122.970659578654,0,0,
"NFB DS 1m WSD Man Made Barrier Old Rd Grade 4m US 1.5m Tall Subsurface Rnd CST 0.61","2020-08-31T14:27:37-07:00",47.6176872919439,-122.775942413081,0,0,
"NFB Natural Barrier 3m US 3.5m Waterfall 2 Culverts 1st Buried Both Rnd CST 1st0.31 2nd 0.76","2020-08-31T14:13:29-07:00",47.617507193711,-122.774752752149,0,0,
"NFB No Crossing","2020-08-03T14:48:59-07:00",47.5474307919727,-122.829781774811,0,0,
"NFB No Crossing No Channel","2020-08-24T14:51:14-07:00",47.5575707990363,-122.889305010627,0,0,
"NFB No DS","2020-08-24T15:46:14-07:00",47.5638714596565,-122.882571174069,0,0,
"NFB No DS","2020-08-24T15:46:32-07:00",47.5642848626925,-122.877515472231,0,0,
"NFB No DS ","2020-08-24T15:45:46-07:00",47.5702833556817,-122.879266065587,0,0,
"NFB US Stand Pipe W/t PCC Rnd 0.61 SLW .45 Pics 223-27 Then Smaller DS Private","2020-08-11T12:08:39-07:00",47.569047477475,-122.962128590337,0,0,
"NFB Wetland Channel PVC 0.61 RND","2020-08-11T12:35:36-07:00",47.5721032995906,-122.955662924717,0,0,"Closest street: Tekiu Rd"
"NFB? Floods Connects To Beef Creek Culvert Crossing US Private Man made No SLW DS SLW 0.3","2020-08-24T15:06:12-07:00",47.5802479836972,-122.86648662254,0,0,
"No Access","2020-08-24T15:47:36-07:00",47.5648903983475,-122.858729478452,0,0,
"No Crossing","2020-09-01T10:33:04-07:00",47.5745207052467,-122.8389984516,0,0,
"No Crossing ","2020-09-01T10:19:13-07:00",47.5644717417114,-122.833121290645,0,0,
"No Crossing ","2020-09-01T13:53:52-07:00",47.6370503393128,-122.841144785288,0,0,
"No Crossing No Channel","2020-07-28T14:31:13-07:00",47.5069744316359,-122.795669325147,0,0,
"No Crossing No Channel","2020-08-10T09:58:30-07:00",47.5376752150125,-122.825300820106,0,0,
"No Crossing No Channel","2020-08-10T13:24:52-07:00",47.5219129305676,-122.972165241734,0,0,
"No Crossing No Channel","2020-08-10T13:25:12-07:00",47.5245391822064,-122.972286778966,0,0,
"No Crossing No Channel","2020-08-11T11:38:55-07:00",47.5702066870053,-122.968282919056,0,0,
"No Crossing No Channel","2020-08-11T11:39:25-07:00",47.5699757712273,-122.970983723971,0,0,
"No Crossing No Channel","2020-08-11T15:35:55-07:00",47.6243399747727,-122.871170583566,0,0,
"No Crossing Rd Side Ditch Drainage","2020-08-10T13:55:41-07:00",47.5500630106333,-122.966820612218,0,0,
"No Crossing Rd Side Drainage","2020-08-25T13:17:27-07:00",47.5918505839015,-122.832002941398,0,0,
"No DS Connection","2020-08-24T11:20:26-07:00",47.5764164401503,-122.904836095764,0,0,
"Placemark 1","2020-07-01T10:16:53-07:00",43.69701,-79.39382,0,0,
"Placemark 44","2020-08-18T07:46:11-07:00",47.6998723124341,-122.740789609606,0,0,
"Placemark 45","2020-08-18T07:46:16-07:00",47.6988375188739,-122.740536176479,0,0,
"Placemark 46","2020-08-18T07:46:21-07:00",47.6938708355035,-122.739137882584,0,0,
"Placemark 47","2020-08-18T07:47:08-07:00",47.6868516223229,-122.731867602724,0,0,
"Placemark 48","2020-08-18T07:47:12-07:00",47.6837189245452,-122.728660640314,0,0,
"Placemark 49","2020-08-18T07:47:20-07:00",47.6796030890943,-122.738831008702,0,0,
"Placemark 50","2020-08-18T07:47:23-07:00",47.6798346500173,-122.741647357173,0,0,
"Placemark 51","2020-08-18T07:47:48-07:00",47.6723175971782,-122.720573320139,0,0,
"Placemark 52","2020-08-18T07:47:52-07:00",47.6718388558352,-122.718439152966,0,0,
"Private","2020-08-10T15:03:22-07:00",47.5589301985334,-122.977268099836,0,0,
"Private","2020-08-10T15:03:37-07:00",47.5593124265847,-122.976205120411,0,0,
"Private Property Bridge","2020-08-24T15:21:50-07:00",47.5788322966287,-122.862149125178,0,0,
"Recheck In Fall *extrem Hornet Area Culvert Crossing Pd To Pd Rnd PCC 0.66 Pics 278-284 ","2020-08-24T14:16:59-07:00",47.5637313638572,-122.892420062033,0,0,
"RR","2020-07-28T10:44:52-07:00",47.5171428261939,-122.768801681192,0,0,
"RR","2020-07-28T10:45:06-07:00",47.5105405551103,-122.776158937426,0,0,
"RR","2020-07-28T10:45:30-07:00",47.4969092852387,-122.77985459404,0,0,
"420270","2020-07-06T12:20:35-07:00",47.5338823246281,-122.584299909153,0,0,
"420281","2020-07-14T14:34:02-07:00",47.5041087082467,-122.729437942156,0,0,
"420282","2020-07-15T11:23:33-07:00",47.5001589951173,-122.726234611341,0,0,
"420283","2020-07-21T13:42:14-07:00",47.5886750080216,-122.553633390767,0,0,
"420284","2020-07-23T08:13:41-07:00",47.5518263659729,-122.567405642555,0,0,
"420285","2020-07-23T08:14:06-07:00",47.5449039001408,-122.567630100615,0,0,
"420286","2020-07-30T13:50:08-07:00",47.5486054956134,-122.569248825475,0,0,
"Both Private US 2nd Culvert 1m Above Collapsed Wetland Area Pic93-97","2020-07-21T15:04:24-07:00",47.5611112765504,-122.57158899341,0,0,
"C/k Ryan","2020-07-06T14:17:03-07:00",47.5357690619473,-122.545654244775,0,0,
"Channel No Crossing","2020-07-14T13:10:02-07:00",47.5057664510174,-122.734847182477,0,0,
"Collection Box 3 Culverts","2020-07-15T12:23:11-07:00",47.5236003461095,-122.702153733037,0,0,
"Crossing NFB No DS Channel US SLW <0.61 0.2","2020-07-21T14:55:29-07:00",47.562839209653,-122.573650544207,0,0,
"Culvert  RND PCC 0.61m NFB SLW 0.3","2020-07-14T13:22:02-07:00",47.5017235016214,-122.734028265814,0,0,
"Culvert Crossing NFB No SLW Wetland No Downstream connections","2020-07-21T13:43:06-07:00",47.5878619794594,-122.554182588197,0,0,
"Culvert Crossing NFB SLW <0.61 0.3 Long Culvert Wt Surface Grate Drains Into PS","2020-07-21T13:05:25-07:00",47.5889542517305,-122.551629913114,0,0,
