"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Address","PlaceId","Type"
"DS Private W/t Gate Culvert On Other Driveway Fish Use US ","2020-06-23T14:38:59-07:00",47.4581897279745,-122.572876234164,781643.143719863,1127659.5218293,,,,
"FPDSI?","2020-08-03T10:33:38-07:00",47.5881692965672,-122.709425746334,829955.967147062,1095218.46473332,,,,
"FPDSI?","2020-08-03T10:38:50-07:00",47.5911487467708,-122.709412239559,831042.338359999,1095252.23763384,,,,
"Habitat Ends At Culvert","2020-09-01T11:32:53-07:00",47.8739678145678,-122.552193105857,933138.201995338,1136720.56889902,"Size shape material: PCC RND 0.31",,,
"Needs A Site Number. (420221?)Landowner Contact","2020-07-28T14:18:22-07:00",47.5236824443977,-122.521956970929,805198.712741816,1140864.72171231,"Outlet is mostly buried and broken. Inlet not found. Underground on Private property.  Round PCC 0.53 m. 0.36 m of sediment at outlet. Tidally influence. ",,,
"NFB","2020-06-24T11:36:51-07:00",47.4180526535388,-122.566565578686,766966.390358324,1128836.65546715,,,,
"NFB","2020-07-15T14:04:56-07:00",47.5167088340611,-122.517335855513,802626.450813926,1141941.12771553,"PVC Drainage pipe",,,
"NFB","2020-07-28T10:32:27-07:00",47.5176813180464,-122.517993370114,802985.236620888,1141787.76882932,,,,
"NFB","2020-07-28T10:34:26-07:00",47.5183250278374,-122.518392508655,803222.497884411,1141695.17469468,"Scour too small upstream ",,,
"NFB","2020-07-28T10:46:47-07:00",47.5190045186686,-122.518788330302,803472.786742784,1141603.73635501,,,,
"NFB","2020-07-28T14:37:35-07:00",47.5205112169958,-122.525011297135,804061.639073969,1140080.57887773,,,,
"NFB","2020-07-28T14:40:14-07:00",47.5201174879294,-122.525211186647,803919.328420526,1140027.51411352,,,,
"NFB","2020-08-03T10:11:28-07:00",47.5670562786155,-122.69225940025,822138.85260898,1099239.30482582,"Underground pipe on Private property connecting these 2 pipes",,,
"NFB","2020-08-03T10:11:53-07:00",47.5670787323459,-122.69148655259,822141.738777098,1099430.26710471,"Underground pipe on Private property connecting these 2 pipes",,,
"NFB","2020-08-03T10:21:53-07:00",47.5580095356537,-122.683886125357,818782.606714217,1101214.42658981,"Storm grate at inlet",,,
"NFB","2020-08-03T10:36:48-07:00",47.5895526417276,-122.709567236465,830461.385491616,1095197.69427028,"Storm drain grate leads to half culvert runoff ",,,
"NFB","2020-08-11T14:47:34-07:00",47.6535480769665,-122.735223945426,853976.019092562,1089529.97429564,"No scour",,,
"NFB","2020-08-11T14:52:40-07:00",47.6592816980419,-122.73515478995,856066.366183397,1089606.27790597,"Habitat ends at outlet Round, CST, 0.46",,,
"NFB","2020-08-12T10:20:46-07:00",47.6265825695842,-122.732405920828,844123.142142284,1089945.93265494,"Road runoff drainage",,,
"NFB","2020-08-25T14:33:39-07:00",47.9045650565346,-122.575879390611,944449.982779555,1131202.04208175,,,,
"NFB","2020-08-25T14:33:50-07:00",47.9055567248634,-122.574207713747,944800.887134379,1131621.52452428,,,,
"NFB","2020-08-26T10:54:33-07:00",47.9017103024181,-122.574413040128,943399.303887201,1131534.26621989,,,,
"NFB","2020-08-26T11:28:15-07:00",47.899613011638,-122.566499853889,942583.401732672,1133454.99047515,,,,
"NFB","2020-08-26T13:56:55-07:00",47.9185737481465,-122.563846926376,949481.967753271,1134286.65944257,,,,
"NFB","2020-08-26T13:57:07-07:00",47.8902167067069,-122.578663443611,939234.713011709,1130381.32455561,"Two culverts. One PVC one CST. Flow directly into another pipe on Private property with no visible outlet. No suitable habitat upstream. No scour",,,
"NFB","2020-08-26T14:24:21-07:00",47.8793752050963,-122.573175846785,935245.090340446,1131623.53440943,,,,
"NFB","2020-09-01T11:27:17-07:00",47.873993609034,-122.550720409735,933138.208883485,1137082.19478918,"No scour. Vegetation in bed. Right next to storm water retention facility ",,,
"NFB","2020-09-22T13:26:35-07:00",47.7474682017141,-122.477926724007,886535.220668099,1153787.63909922,,,,
"NFB","2020-09-22T14:33:35-07:00",47.7720712990075,-122.519831842285,895769.433544569,1143709.78329526,"Storm water retention pond upstream. Storm grate on outlet of pipe, couldn’t get measurements",,,
"NFB ","2020-06-23T10:59:15-07:00",47.4445857387925,-122.576207997688,776704.177716483,1126704.94516713,,,,
"NFB ","2020-08-11T15:04:30-07:00",47.6605144275494,-122.735248177483,856516.5479349,1089596.01292015,"Habitat ends at outlet Round, PCC, 0.46",,,
"NFB ","2020-08-12T09:45:41-07:00",47.6314358902528,-122.732436444603,845893.151190847,1089988.51166284,"No Scour",,,
"NFB ","2020-10-07T14:46:19-07:00",47.7698041303136,-122.591302783432,895400.625254526,1126116.12968817,"Scour too small upstream",,,
"NFB beyond Site","2020-08-03T11:30:39-07:00",47.6149579235829,-122.710263605903,839730.358350218,1095285.5730857,"Upstream inlet has storm drain on top of PCC culvert through drainage ditch. Scour too small. Outlet Is Round CAL 0.71. ",,,
"NFB beyond Site","2020-08-10T15:02:22-07:00",47.6470585914915,-122.762034438559,851797.955667928,1082856.25676221,"Two culverts have outlets at same location. Inlets are located at separate drainage. Round, CST, 0.38",,,
"NFB Beyond Site","2020-08-10T15:15:30-07:00",47.6465558857581,-122.762441044941,851617.515460432,1082750.8018621,"Two culverts have outlets at same location. Inlets are located at separate drainage ditches. Round, CST, 0.46",,,
"NFB Culvert PCC RND .3 No U/S D|S <.61 Wetland","2020-06-22T10:04:23-07:00",47.4357754002462,-122.575803053573,773488.899953191,1126720.54981597,,,,
"NFB Storm Drain","2020-08-25T14:04:30-07:00",47.9057294855696,-122.580687919415,944905.764055969,1130033.98579314,,,,
"NFB US DS Private Unknown ","2020-06-22T15:20:21-07:00",47.4269466027559,-122.55228369749,770117.210046081,1132455.7478252,,,,
"No Site","2020-07-15T10:35:52-07:00",47.5123092214524,-122.507906244976,800962.614638945,1144229.79149701,,,,
"No Site","2020-08-03T13:47:18-07:00",47.5932954170986,-122.732940067594,831988.602283505,1089470.54034845,,,,
"No Site","2020-08-11T12:21:55-07:00",47.6367134861243,-122.737912212944,847855.921625923,1088693.38882151,,,,
"No Site","2020-08-26T11:15:12-07:00",47.9031954682891,-122.57424801904,943939.924300327,1131588.98700278,,,,
"No Site","2020-08-26T11:28:26-07:00",47.8996814221707,-122.567682053267,942615.953616804,1133165.68942992,,,,
"No Site","2020-09-09T13:12:27-07:00",47.7930848784682,-122.585128594849,903851.014217831,1127858.65677604,,,,
"No Site","2020-09-22T14:15:07-07:00",47.7683143747492,-122.497693326466,894260.588544551,1149118.0950946,,,,
"No Site","2020-09-22T14:23:32-07:00",47.7729534663967,-122.503978065136,895991.727279502,1147615.79814786,,,,
"No Site","2020-09-22T14:29:14-07:00",47.7729953071227,-122.510140421792,896045.546989955,1146101.12150647,,,,
"No Site","2020-09-22T14:41:52-07:00",47.7665704686956,-122.517580194121,893749.054695375,1144212.0487153,,,,
